sku,board,board_label,unit_code,unit_key,unit_title,section_code,section_key,section_title,tier_scope,subtopic_count,listing_title,subtitle,short_description,description_markdown,seo_title,seo_description,price_early_bird,price_regular,early_bird_end_date,release_date,payhip_url_seed,tags,cta_label
L2-CIE0580-C1,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),Core,16,CIE 0580 C1 Number (Core) Section Bundle,Early-Bird Presale | Core | Section Bundle,Early-bird presale for CIE 0580 Number (Core). Includes approx. 16 subtopics (Core) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 C1 Number (Core)** (Core), inside the Number unit.

### What this section covers
- Approx. **16 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1 Number (Core) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Number (Core). Includes approx. 16 subtopics (Core) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,"kahoot,presale,l2,cie0580,core,unit:number,section:c1",Get Section Early-Bird Access
L2-CIE0580-C2,cie0580,CIE 0580,U2,algebra,Algebra and Graphs,C2,algebra-c2,Algebra and Graphs (Core),Core,9,CIE 0580 C2 Algebra and Graphs (Core) Section Bundle,Early-Bird Presale | Core | Section Bundle,Early-bird presale for CIE 0580 Algebra and Graphs (Core). Includes approx. 9 subtopics (Core) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 C2 Algebra and Graphs (Core)** (Core), inside the Algebra and Graphs unit.

### What this section covers
- Approx. **9 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C2 Algebra and Graphs (Core) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Algebra and Graphs (Core). Includes approx. 9 subtopics (Core) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,"kahoot,presale,l2,cie0580,core,unit:algebra,section:c2",Get Section Early-Bird Access
L2-CIE0580-C3,cie0580,CIE 0580,U3,coordinate,Coordinate Geometry,C3,coordinate-c3,Coordinate Geometry (Core),Core,5,CIE 0580 C3 Coordinate Geometry (Core) Section Bundle,Early-Bird Presale | Core | Section Bundle,Early-bird presale for CIE 0580 Coordinate Geometry (Core). Includes approx. 5 subtopics (Core) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 C3 Coordinate Geometry (Core)** (Core), inside the Coordinate Geometry unit.

### What this section covers
- Approx. **5 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C3 Coordinate Geometry (Core) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Coordinate Geometry (Core). Includes approx. 5 subtopics (Core) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c3,"kahoot,presale,l2,cie0580,core,unit:coordinate,section:c3",Get Section Early-Bird Access
L2-CIE0580-C4,cie0580,CIE 0580,U4,geometry,Geometry,C4,geometry-c4,Geometry (Core),Core,7,CIE 0580 C4 Geometry (Core) Section Bundle,Early-Bird Presale | Core | Section Bundle,Early-bird presale for CIE 0580 Geometry (Core). Includes approx. 7 subtopics (Core) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 C4 Geometry (Core)** (Core), inside the Geometry unit.

### What this section covers
- Approx. **7 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C4 Geometry (Core) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Geometry (Core). Includes approx. 7 subtopics (Core) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c4,"kahoot,presale,l2,cie0580,core,unit:geometry,section:c4",Get Section Early-Bird Access
L2-CIE0580-C5,cie0580,CIE 0580,U5,mensuration,Mensuration,C5,mensuration-c5,Mensuration (Core),Core,5,CIE 0580 C5 Mensuration (Core) Section Bundle,Early-Bird Presale | Core | Section Bundle,Early-bird presale for CIE 0580 Mensuration (Core). Includes approx. 5 subtopics (Core) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 C5 Mensuration (Core)** (Core), inside the Mensuration unit.

### What this section covers
- Approx. **5 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C5 Mensuration (Core) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Mensuration (Core). Includes approx. 5 subtopics (Core) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c5,"kahoot,presale,l2,cie0580,core,unit:mensuration,section:c5",Get Section Early-Bird Access
L2-CIE0580-C6,cie0580,CIE 0580,U6,trigonometry,Trigonometry,C6,trigonometry-c6,Trigonometry (Core),Core,2,CIE 0580 C6 Trigonometry (Core) Section Bundle,Early-Bird Presale | Core | Section Bundle,Early-bird presale for CIE 0580 Trigonometry (Core). Includes approx. 2 subtopics (Core) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 C6 Trigonometry (Core)** (Core), inside the Trigonometry unit.

### What this section covers
- Approx. **2 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C6 Trigonometry (Core) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Trigonometry (Core). Includes approx. 2 subtopics (Core) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c6,"kahoot,presale,l2,cie0580,core,unit:trigonometry,section:c6",Get Section Early-Bird Access
L2-CIE0580-C7,cie0580,CIE 0580,U7,transformations,Transformations and Vectors,C7,transformations-c7,Transformations and Vectors (Core),Core,1,CIE 0580 C7 Transformations and Vectors (Core) Section Bundle,Early-Bird Presale | Core | Section Bundle,Early-bird presale for CIE 0580 Transformations and Vectors (Core). Includes approx. 1 subtopics (Core) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 C7 Transformations and Vectors (Core)** (Core), inside the Transformations and Vectors unit.

### What this section covers
- Approx. **1 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C7 Transformations and Vectors (Core) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Transformations and Vectors (Core). Includes approx. 1 subtopics (Core) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c7,"kahoot,presale,l2,cie0580,core,unit:transformations,section:c7",Get Section Early-Bird Access
L2-CIE0580-C8,cie0580,CIE 0580,U8,probability,Probability,C8,probability-c8,Probability (Core),Core,3,CIE 0580 C8 Probability (Core) Section Bundle,Early-Bird Presale | Core | Section Bundle,Early-bird presale for CIE 0580 Probability (Core). Includes approx. 3 subtopics (Core) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 C8 Probability (Core)** (Core), inside the Probability unit.

### What this section covers
- Approx. **3 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C8 Probability (Core) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Probability (Core). Includes approx. 3 subtopics (Core) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c8,"kahoot,presale,l2,cie0580,core,unit:probability,section:c8",Get Section Early-Bird Access
L2-CIE0580-C9,cie0580,CIE 0580,U9,statistics,Statistics,C9,statistics-c9,Statistics (Core),Core,4,CIE 0580 C9 Statistics (Core) Section Bundle,Early-Bird Presale | Core | Section Bundle,Early-bird presale for CIE 0580 Statistics (Core). Includes approx. 4 subtopics (Core) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 C9 Statistics (Core)** (Core), inside the Statistics unit.

### What this section covers
- Approx. **4 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C9 Statistics (Core) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Statistics (Core). Includes approx. 4 subtopics (Core) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c9,"kahoot,presale,l2,cie0580,core,unit:statistics,section:c9",Get Section Early-Bird Access
L2-CIE0580-E1,cie0580,CIE 0580,U1,number,Number,E1,number-e1,Number (Extended),Extended,18,CIE 0580 E1 Number (Extended) Section Bundle,Early-Bird Presale | Extended | Section Bundle,Early-bird presale for CIE 0580 Number (Extended). Includes approx. 18 subtopics (Extended) with structured section-level worksheet and answer support.,"This is the early-bird presale for **CIE 0580 E1 Number (Extended)** (Extended), inside the Number unit.

### What this section covers
- Approx. **18 subtopics** focused on one syllabus section
- Designed for section-by-section exam preparation
- Aligned with Kahoot usage and worksheet progression

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Release updates for this section bundle

### What you receive on release (April 30, 2026)
- Section worksheet pack
- Section answer and worked support
- Section-focused Kahoot companion alignment

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Start here at section level (L2)
- Upgrade to full unit bundle (L3) when ready

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 E1 Number (Extended) Section Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Number (Extended). Includes approx. 18 subtopics (Extended) with structured section-level worksheet and answer support.,US$12,US$16,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e1,"kahoot,presale,l2,cie0580,extended,unit:number,section:e1",Get Section Early-Bird Access
