upload_priority,sku,level,board,board_label,tier_scope,listing_title,listing_title_short_en,listing_title_mobile_en,listing_title_original_len,listing_title_short_len,listing_title_mobile_len,subtitle_en,subtitle_zh,short_description_en,short_description_zh,description_markdown_en,description_markdown_zh,seo_title_en,seo_description_en,cta_label_en,cta_label_zh,price_early_bird,price_regular,early_bird_end_date,release_date,payhip_url_seed,tags,main_cover_png,main_cover_svg,image_folder,kahoot_url,worksheet_url,section_bundle_url,unit_bundle_url,deliver_now,deliver_on_release,bonus,slug_candidate
1,L3-CIE0580-U1,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U1 Number Unit Bundle,CIE 0580 U1 Number Unit,CIE 0580 U1 Number Unit,30,23,23,Early-Bird Presale | Unit Bundle | Core + Extended,早鸟预售 | 单元合集 | Core + Extended,Early-bird presale for CIE 0580 U1 Number. 2 sections / 34 subtopics with full unit support.,CIE 0580 U1 Number 单元合集早鸟预售。覆盖 2 个章节、34 个小专题。,"This listing is the early-bird presale for **CIE 0580 U1 Number** (Core + Extended).

### Unit scope
- **2 sections**
- **34 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (April 30, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **March 31, 2026**
- Release date: **April 30, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **CIE 0580 U1 Number**（Core + Extended）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **34 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（April 30, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**March 31, 2026**
- 正式上线：**April 30, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",CIE 0580 U1 Number Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 U1 Number. 2 sections / 34 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-number,"kahoot,presale,l3,cie0580,unit:number",payhip/presale/listing-assets/l3/l3-cie0580-u1/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u1/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-cie0580-u1,,,,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-cie0580-u1
1,L3-CIE0580-U2,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U2 Algebra and Graphs Unit Bundle,CIE 0580 U2 Algebra & Graphs Unit,CIE 0580 U2 Algebra & Graphs Unit,42,33,33,Early-Bird Presale | Unit Bundle | Core + Extended,早鸟预售 | 单元合集 | Core + Extended,Early-bird presale for CIE 0580 U2 Algebra and Graphs. 2 sections / 22 subtopics with full unit support.,CIE 0580 U2 Algebra and Graphs 单元合集早鸟预售。覆盖 2 个章节、22 个小专题。,"This listing is the early-bird presale for **CIE 0580 U2 Algebra and Graphs** (Core + Extended).

### Unit scope
- **2 sections**
- **22 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (April 30, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **March 31, 2026**
- Release date: **April 30, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **CIE 0580 U2 Algebra and Graphs**（Core + Extended）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **22 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（April 30, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**March 31, 2026**
- 正式上线：**April 30, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",CIE 0580 U2 Algebra and Graphs Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 U2 Algebra and Graphs. 2 sections / 22 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-algebra,"kahoot,presale,l3,cie0580,unit:algebra",payhip/presale/listing-assets/l3/l3-cie0580-u2/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u2/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-cie0580-u2,,,,https://payhip.com/25maths?src=cie0580-unit-algebra,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-cie0580-u2
1,L3-CIE0580-U3,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U3 Coordinate Geometry Unit Bundle,CIE 0580 U3 Coord Geometry Unit,CIE 0580 U3 Coord Geometry Unit,43,31,31,Early-Bird Presale | Unit Bundle | Core + Extended,早鸟预售 | 单元合集 | Core + Extended,Early-bird presale for CIE 0580 U3 Coordinate Geometry. 2 sections / 12 subtopics with full unit support.,CIE 0580 U3 Coordinate Geometry 单元合集早鸟预售。覆盖 2 个章节、12 个小专题。,"This listing is the early-bird presale for **CIE 0580 U3 Coordinate Geometry** (Core + Extended).

### Unit scope
- **2 sections**
- **12 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (April 30, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **March 31, 2026**
- Release date: **April 30, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **CIE 0580 U3 Coordinate Geometry**（Core + Extended）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **12 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（April 30, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**March 31, 2026**
- 正式上线：**April 30, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",CIE 0580 U3 Coordinate Geometry Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 U3 Coordinate Geometry. 2 sections / 12 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-coordinate,"kahoot,presale,l3,cie0580,unit:coordinate",payhip/presale/listing-assets/l3/l3-cie0580-u3/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u3/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-cie0580-u3,,,,https://payhip.com/25maths?src=cie0580-unit-coordinate,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-cie0580-u3
1,L3-CIE0580-U4,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U4 Geometry Unit Bundle,CIE 0580 U4 Geometry Unit,CIE 0580 U4 Geometry Unit,32,25,25,Early-Bird Presale | Unit Bundle | Core + Extended,早鸟预售 | 单元合集 | Core + Extended,Early-bird presale for CIE 0580 U4 Geometry. 2 sections / 15 subtopics with full unit support.,CIE 0580 U4 Geometry 单元合集早鸟预售。覆盖 2 个章节、15 个小专题。,"This listing is the early-bird presale for **CIE 0580 U4 Geometry** (Core + Extended).

### Unit scope
- **2 sections**
- **15 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (April 30, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **March 31, 2026**
- Release date: **April 30, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **CIE 0580 U4 Geometry**（Core + Extended）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **15 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（April 30, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**March 31, 2026**
- 正式上线：**April 30, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",CIE 0580 U4 Geometry Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 U4 Geometry. 2 sections / 15 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-geometry,"kahoot,presale,l3,cie0580,unit:geometry",payhip/presale/listing-assets/l3/l3-cie0580-u4/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u4/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-cie0580-u4,,,,https://payhip.com/25maths?src=cie0580-unit-geometry,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-cie0580-u4
1,L3-CIE0580-U5,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U5 Mensuration Unit Bundle,CIE 0580 U5 Mensuration Unit,CIE 0580 U5 Mensuration Unit,35,28,28,Early-Bird Presale | Unit Bundle | Core + Extended,早鸟预售 | 单元合集 | Core + Extended,Early-bird presale for CIE 0580 U5 Mensuration. 2 sections / 10 subtopics with full unit support.,CIE 0580 U5 Mensuration 单元合集早鸟预售。覆盖 2 个章节、10 个小专题。,"This listing is the early-bird presale for **CIE 0580 U5 Mensuration** (Core + Extended).

### Unit scope
- **2 sections**
- **10 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (April 30, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **March 31, 2026**
- Release date: **April 30, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **CIE 0580 U5 Mensuration**（Core + Extended）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **10 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（April 30, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**March 31, 2026**
- 正式上线：**April 30, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",CIE 0580 U5 Mensuration Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 U5 Mensuration. 2 sections / 10 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-mensuration,"kahoot,presale,l3,cie0580,unit:mensuration",payhip/presale/listing-assets/l3/l3-cie0580-u5/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u5/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-cie0580-u5,,,,https://payhip.com/25maths?src=cie0580-unit-mensuration,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-cie0580-u5
1,L3-CIE0580-U6,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U6 Trigonometry Unit Bundle,CIE 0580 U6 Trigonometry Unit,CIE 0580 U6 Trigonometry Unit,36,29,29,Early-Bird Presale | Unit Bundle | Core + Extended,早鸟预售 | 单元合集 | Core + Extended,Early-bird presale for CIE 0580 U6 Trigonometry. 2 sections / 8 subtopics with full unit support.,CIE 0580 U6 Trigonometry 单元合集早鸟预售。覆盖 2 个章节、8 个小专题。,"This listing is the early-bird presale for **CIE 0580 U6 Trigonometry** (Core + Extended).

### Unit scope
- **2 sections**
- **8 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (April 30, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **March 31, 2026**
- Release date: **April 30, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **CIE 0580 U6 Trigonometry**（Core + Extended）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **8 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（April 30, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**March 31, 2026**
- 正式上线：**April 30, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",CIE 0580 U6 Trigonometry Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 U6 Trigonometry. 2 sections / 8 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-trigonometry,"kahoot,presale,l3,cie0580,unit:trigonometry",payhip/presale/listing-assets/l3/l3-cie0580-u6/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u6/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-cie0580-u6,,,,https://payhip.com/25maths?src=cie0580-unit-trigonometry,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-cie0580-u6
1,L3-CIE0580-U7,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U7 Transformations and Vectors Unit Bundle,CIE 0580 U7 Transforms & Vectors Unit,CIE 0580 U7 Transforms & Vectors Unit,51,37,37,Early-Bird Presale | Unit Bundle | Core + Extended,早鸟预售 | 单元合集 | Core + Extended,Early-bird presale for CIE 0580 U7 Transformations and Vectors. 2 sections / 5 subtopics with full unit support.,CIE 0580 U7 Transformations and Vectors 单元合集早鸟预售。覆盖 2 个章节、5 个小专题。,"This listing is the early-bird presale for **CIE 0580 U7 Transformations and Vectors** (Core + Extended).

### Unit scope
- **2 sections**
- **5 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (April 30, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **March 31, 2026**
- Release date: **April 30, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **CIE 0580 U7 Transformations and Vectors**（Core + Extended）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **5 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（April 30, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**March 31, 2026**
- 正式上线：**April 30, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",CIE 0580 U7 Transformations and Vectors Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 U7 Transformations and Vectors. 2 sections / 5 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-transformations,"kahoot,presale,l3,cie0580,unit:transformations",payhip/presale/listing-assets/l3/l3-cie0580-u7/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u7/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-cie0580-u7,,,,https://payhip.com/25maths?src=cie0580-unit-transformations,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-cie0580-u7
1,L3-CIE0580-U8,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U8 Probability Unit Bundle,CIE 0580 U8 Probability Unit,CIE 0580 U8 Probability Unit,35,28,28,Early-Bird Presale | Unit Bundle | Core + Extended,早鸟预售 | 单元合集 | Core + Extended,Early-bird presale for CIE 0580 U8 Probability. 2 sections / 7 subtopics with full unit support.,CIE 0580 U8 Probability 单元合集早鸟预售。覆盖 2 个章节、7 个小专题。,"This listing is the early-bird presale for **CIE 0580 U8 Probability** (Core + Extended).

### Unit scope
- **2 sections**
- **7 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (April 30, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **March 31, 2026**
- Release date: **April 30, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **CIE 0580 U8 Probability**（Core + Extended）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **7 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（April 30, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**March 31, 2026**
- 正式上线：**April 30, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",CIE 0580 U8 Probability Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 U8 Probability. 2 sections / 7 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-probability,"kahoot,presale,l3,cie0580,unit:probability",payhip/presale/listing-assets/l3/l3-cie0580-u8/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u8/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-cie0580-u8,,,,https://payhip.com/25maths?src=cie0580-unit-probability,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-cie0580-u8
1,L3-CIE0580-U9,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U9 Statistics Unit Bundle,CIE 0580 U9 Statistics Unit,CIE 0580 U9 Statistics Unit,34,27,27,Early-Bird Presale | Unit Bundle | Core + Extended,早鸟预售 | 单元合集 | Core + Extended,Early-bird presale for CIE 0580 U9 Statistics. 2 sections / 11 subtopics with full unit support.,CIE 0580 U9 Statistics 单元合集早鸟预售。覆盖 2 个章节、11 个小专题。,"This listing is the early-bird presale for **CIE 0580 U9 Statistics** (Core + Extended).

### Unit scope
- **2 sections**
- **11 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (April 30, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **March 31, 2026**
- Release date: **April 30, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **CIE 0580 U9 Statistics**（Core + Extended）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **11 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（April 30, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**March 31, 2026**
- 正式上线：**April 30, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",CIE 0580 U9 Statistics Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 U9 Statistics. 2 sections / 11 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-statistics,"kahoot,presale,l3,cie0580,unit:statistics",payhip/presale/listing-assets/l3/l3-cie0580-u9/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u9/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-cie0580-u9,,,,https://payhip.com/25maths?src=cie0580-unit-statistics,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-cie0580-u9
1,L3-EDX4MA1-U1,L3,edexcel-4ma1,Edexcel 4MA1,Foundation + Higher,Edexcel 4MA1 U1 Number and Arithmetic Unit Bundle,Edexcel 4MA1 U1 Number & Arithmetic Unit,Edexcel 4MA1 U1 Number & Arithmetic Unit,49,40,40,Early-Bird Presale | Unit Bundle | Foundation + Higher,早鸟预售 | 单元合集 | Foundation + Higher,Early-bird presale for Edexcel 4MA1 U1 Number and Arithmetic. 2 sections / 22 subtopics with full unit support.,Edexcel 4MA1 U1 Number and Arithmetic 单元合集早鸟预售。覆盖 2 个章节、22 个小专题。,"This listing is the early-bird presale for **Edexcel 4MA1 U1 Number and Arithmetic** (Foundation + Higher).

### Unit scope
- **2 sections**
- **22 SubTopics**
- Unit-level Kahoot + worksheet progression

### What you receive now
- Presale entitlement confirmation
- Early-bird price lock
- Unit release updates

### What you receive on release (May 31, 2026)
- Full unit worksheet pack
- Answers and worked support
- Unit-level exam extension roadmap

### Important dates
- Early-bird ends: **April 30, 2026**
- Release date: **May 31, 2026**

### Bonus
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","这是 **Edexcel 4MA1 U1 Number and Arithmetic**（Foundation + Higher）单元合集早鸟预售。

### 单元覆盖范围
- **2 个章节**
- **22 个小专题**
- 单元级 Kahoot + Worksheet 复习闭环

### 现在下单可获得
- 预售购买资格确认
- 早鸟价格锁定
- 单元上线提醒

### 正式上线后交付（May 31, 2026）
- 单元 Worksheet 完整包
- 答案与讲解支持
- 单元级真题拓展路线

### 关键时间
- 早鸟截止：**April 30, 2026**
- 正式上线：**May 31, 2026**

### 赠送与复购
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",Edexcel 4MA1 U1 Number and Arithmetic Unit Bundle | Early-Bird Presale,Early-bird presale for Edexcel 4MA1 U1 Number and Arithmetic. 2 sections / 22 subtopics with full unit support.,Get Unit Early-Bird Access,立即锁定单元早鸟价,US$20,US$25,2026-04-30,2026-05-31,https://payhip.com/25maths?src=edexcel4ma1-unit-number,"kahoot,presale,l3,edexcel-4ma1,unit:number",payhip/presale/listing-assets/l3/l3-edx4ma1-u1/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-edx4ma1-u1/01-cover-main-2320x1520-payhip.svg,payhip/presale/listing-assets/l3/l3-edx4ma1-u1,,,,https://payhip.com/25maths?src=edexcel4ma1-unit-number,Presale placeholder + unit entitlement + release updates.,"Full unit pack: worksheets, answers, Kahoot alignment, and unit-level exam extensions.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",l3-edx4ma1-u1
