sku,board,board_label,unit_code,unit_key,unit_title,section_code,section_key,section_title,subtopic_code,subtopic_id,subtopic_title,tier_scope,listing_title,subtitle,short_description,description_markdown,seo_title,seo_description,price_early_bird,price_regular,early_bird_end_date,release_date,kahoot_url,worksheet_url,section_bundle_url,unit_bundle_url,payhip_url_seed,deliver_now,deliver_on_release,bonus,tags,cta_label
L1-CIE0580-C1-01,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-01,cie0580:number-c1:c1-01-types-of-number,Types Of Number,Core,CIE 0580 C1-01 Types Of Number Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-01 Types Of Number (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-01 Types Of Number** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-01

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-01 Types Of Number Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-01 Types Of Number (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-01,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-01,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-01,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-01",Get SubTopic Early-Bird Access
L1-CIE0580-C1-02,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-02,cie0580:number-c1:c1-02-sets,Sets,Core,CIE 0580 C1-02 Sets Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-02 Sets (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-02 Sets** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-02

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-02 Sets Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-02 Sets (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-02,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-02,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-02,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-02",Get SubTopic Early-Bird Access
L1-CIE0580-C1-03,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-03,cie0580:number-c1:c1-03-powers-and-roots,Powers And Roots,Core,CIE 0580 C1-03 Powers And Roots Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-03 Powers And Roots (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-03 Powers And Roots** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-03

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-03 Powers And Roots Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-03 Powers And Roots (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-03,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-03,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-03,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-03",Get SubTopic Early-Bird Access
L1-CIE0580-C1-04,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-04,cie0580:number-c1:c1-04-fractions-decimals-percentages,Fractions Decimals Percentages,Core,CIE 0580 C1-04 Fractions Decimals Percentages Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-04 Fractions Decimals Percentages (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-04 Fractions Decimals Percentages** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-04

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-04 Fractions Decimals Percentages Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-04 Fractions Decimals Percentages (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-04,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-04,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-04,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-04",Get SubTopic Early-Bird Access
L1-CIE0580-C1-05,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-05,cie0580:number-c1:c1-05-ordering,Ordering,Core,CIE 0580 C1-05 Ordering Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-05 Ordering (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-05 Ordering** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-05

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-05 Ordering Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-05 Ordering (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-05,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-05,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-05,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-05",Get SubTopic Early-Bird Access
L1-CIE0580-C1-06,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-06,cie0580:number-c1:c1-06-four-operations,Four Operations,Core,CIE 0580 C1-06 Four Operations Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-06 Four Operations (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-06 Four Operations** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-06

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-06 Four Operations Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-06 Four Operations (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-06,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-06,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-06,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-06",Get SubTopic Early-Bird Access
L1-CIE0580-C1-07,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-07,cie0580:number-c1:c1-07-indices-i,Indices I,Core,CIE 0580 C1-07 Indices I Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-07 Indices I (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-07 Indices I** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-07

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-07 Indices I Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-07 Indices I (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-07,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-07,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-07,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-07",Get SubTopic Early-Bird Access
L1-CIE0580-C1-08,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-08,cie0580:number-c1:c1-08-standard-form,Standard Form,Core,CIE 0580 C1-08 Standard Form Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-08 Standard Form (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-08 Standard Form** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-08

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-08 Standard Form Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-08 Standard Form (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-08,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-08,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-08,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-08",Get SubTopic Early-Bird Access
L1-CIE0580-C1-09,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-09,cie0580:number-c1:c1-09-estimation-and-approximation,Estimation And Approximation,Core,CIE 0580 C1-09 Estimation And Approximation Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-09 Estimation And Approximation (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-09 Estimation And Approximation** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-09

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-09 Estimation And Approximation Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-09 Estimation And Approximation (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-09,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-09,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-09,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-09",Get SubTopic Early-Bird Access
L1-CIE0580-C1-10,cie0580,CIE 0580,U1,number,Number,C1,number-c1,Number (Core),C1-10,cie0580:number-c1:c1-10-limits-of-accuracy,Limits Of Accuracy,Core,CIE 0580 C1-10 Limits Of Accuracy Worksheet + Kahoot Companion (Core),Early-Bird Presale | Core | SubTopic MVP,Early-bird presale for CIE 0580 C1-10 Limits Of Accuracy (Core). Worksheet + answers + Kahoot companion are delivered on release.,"This is the early-bird presale for **CIE 0580 C1-10 Limits Of Accuracy** (Core) in **Number / Number (Core)**.

### What this SubTopic covers
- Focused exam-spec practice for one micro-topic
- Built to pair worksheet drills with Kahoot recap flow
- Fast MVP purchase point for targeted revision

### What you receive now (presale stage)
- Presale placeholder + entitlement confirmation + release updates.

### What you receive on release (April 30, 2026)
- SubTopic worksheet PDF + answers + Kahoot companion updates.

### Kahoot companion
- Dedicated Kahoot link for this SubTopic: https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-10

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Upgrade path
- Step 1: SubTopic MVP (this listing)
- Step 2: Section bundle (L2): https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1
- Step 3: Unit bundle (L3): https://payhip.com/25maths?src=cie0580-unit-number

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 C1-10 Limits Of Accuracy Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Early-bird presale for CIE 0580 C1-10 Limits Of Accuracy (Core). Worksheet + answers + Kahoot companion are delivered on release.,US$3,US$4,2026-03-31,2026-04-30,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-10,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-10,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-10,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-10",Get SubTopic Early-Bird Access
