sku,board,board_label,unit_code,unit_key,unit_title,listing_title,subtitle,short_description,description_markdown,seo_title,seo_description,price_early_bird,price_regular,early_bird_end_date,release_date,payhip_url_seed,tags,cta_label
L3-CIE0580-U1,cie0580,CIE 0580,U1,number,Number,CIE 0580 U1 Number Unit Bundle,Early-Bird Presale | Core + Extended | CIE 0580 Unit Bundle,Early-bird presale for CIE 0580 Number. Approx. 34 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$102. This L3 early-bird price is US$20 (save US$82).,"This is the early-bird presale for **CIE 0580 Number** (Core + Extended).

### What this unit covers
- Approx. **34 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$102** (34 x US$3)
- L3 early-bird price: **US$20**
- Savings at early-bird price: **US$82**.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (April 30, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 U1 Number Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Number. Approx. 34 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$102. This L3 early-bird price is US$20 (save US$82).,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-number,"kahoot,presale,l3,cie0580,unit:number",Get Early-Bird Access
L3-CIE0580-U2,cie0580,CIE 0580,U2,algebra,Algebra and Graphs,CIE 0580 U2 Algebra and Graphs Unit Bundle,Early-Bird Presale | Core + Extended | CIE 0580 Unit Bundle,Early-bird presale for CIE 0580 Algebra and Graphs. Approx. 22 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$66. This L3 early-bird price is US$20 (save US$46).,"This is the early-bird presale for **CIE 0580 Algebra and Graphs** (Core + Extended).

### What this unit covers
- Approx. **22 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$66** (22 x US$3)
- L3 early-bird price: **US$20**
- Savings at early-bird price: **US$46**.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (April 30, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 U2 Algebra and Graphs Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Algebra and Graphs. Approx. 22 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$66. This L3 early-bird price is US$20 (save US$46).,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-algebra,"kahoot,presale,l3,cie0580,unit:algebra",Get Early-Bird Access
L3-CIE0580-U3,cie0580,CIE 0580,U3,coordinate,Coordinate Geometry,CIE 0580 U3 Coordinate Geometry Unit Bundle,Early-Bird Presale | Core + Extended | CIE 0580 Unit Bundle,Early-bird presale for CIE 0580 Coordinate Geometry. Approx. 12 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$36. This L3 early-bird price is US$20 (save US$16).,"This is the early-bird presale for **CIE 0580 Coordinate Geometry** (Core + Extended).

### What this unit covers
- Approx. **12 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$36** (12 x US$3)
- L3 early-bird price: **US$20**
- Savings at early-bird price: **US$16**.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (April 30, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 U3 Coordinate Geometry Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Coordinate Geometry. Approx. 12 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$36. This L3 early-bird price is US$20 (save US$16).,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-coordinate,"kahoot,presale,l3,cie0580,unit:coordinate",Get Early-Bird Access
L3-CIE0580-U4,cie0580,CIE 0580,U4,geometry,Geometry,CIE 0580 U4 Geometry Unit Bundle,Early-Bird Presale | Core + Extended | CIE 0580 Unit Bundle,Early-bird presale for CIE 0580 Geometry. Approx. 15 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$45. This L3 early-bird price is US$20 (save US$25).,"This is the early-bird presale for **CIE 0580 Geometry** (Core + Extended).

### What this unit covers
- Approx. **15 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$45** (15 x US$3)
- L3 early-bird price: **US$20**
- Savings at early-bird price: **US$25**.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (April 30, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 U4 Geometry Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Geometry. Approx. 15 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$45. This L3 early-bird price is US$20 (save US$25).,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-geometry,"kahoot,presale,l3,cie0580,unit:geometry",Get Early-Bird Access
L3-CIE0580-U5,cie0580,CIE 0580,U5,mensuration,Mensuration,CIE 0580 U5 Mensuration Unit Bundle,Early-Bird Presale | Core + Extended | CIE 0580 Unit Bundle,Early-bird presale for CIE 0580 Mensuration. Approx. 10 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$30. This L3 early-bird price is US$20 (save US$10).,"This is the early-bird presale for **CIE 0580 Mensuration** (Core + Extended).

### What this unit covers
- Approx. **10 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$30** (10 x US$3)
- L3 early-bird price: **US$20**
- Savings at early-bird price: **US$10**.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (April 30, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 U5 Mensuration Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Mensuration. Approx. 10 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$30. This L3 early-bird price is US$20 (save US$10).,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-mensuration,"kahoot,presale,l3,cie0580,unit:mensuration",Get Early-Bird Access
L3-CIE0580-U6,cie0580,CIE 0580,U6,trigonometry,Trigonometry,CIE 0580 U6 Trigonometry Unit Bundle,Early-Bird Presale | Core + Extended | CIE 0580 Unit Bundle,Early-bird presale for CIE 0580 Trigonometry. Approx. 8 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$24. This L3 early-bird price is US$20 (save US$4).,"This is the early-bird presale for **CIE 0580 Trigonometry** (Core + Extended).

### What this unit covers
- Approx. **8 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$24** (8 x US$3)
- L3 early-bird price: **US$20**
- Savings at early-bird price: **US$4**.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (April 30, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 U6 Trigonometry Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Trigonometry. Approx. 8 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$24. This L3 early-bird price is US$20 (save US$4).,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-trigonometry,"kahoot,presale,l3,cie0580,unit:trigonometry",Get Early-Bird Access
L3-CIE0580-U7,cie0580,CIE 0580,U7,transformations,Transformations and Vectors,CIE 0580 U7 Transformations and Vectors Unit Bundle,Early-Bird Presale | Core + Extended | CIE 0580 Unit Bundle,"Early-bird presale for CIE 0580 Transformations and Vectors. Approx. 5 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Designed as a complete unit roadmap with bundled support, not just a sum of L1 files (L1 subtotal US$15).","This is the early-bird presale for **CIE 0580 Transformations and Vectors** (Core + Extended).

### What this unit covers
- Approx. **5 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$15** (5 x US$3)
- L3 early-bird price: **US$20**
- This unit is priced for structured unit completion, answer workflow, and exam-support path beyond standalone L1 files.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (April 30, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 U7 Transformations and Vectors Unit Bundle | Early-Bird Presale,"Early-bird presale for CIE 0580 Transformations and Vectors. Approx. 5 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Designed as a complete unit roadmap with bundled support, not just a sum of L1 files (L1 subtotal US$15).",US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-transformations,"kahoot,presale,l3,cie0580,unit:transformations",Get Early-Bird Access
L3-CIE0580-U8,cie0580,CIE 0580,U8,probability,Probability,CIE 0580 U8 Probability Unit Bundle,Early-Bird Presale | Core + Extended | CIE 0580 Unit Bundle,Early-bird presale for CIE 0580 Probability. Approx. 7 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$21. This L3 early-bird price is US$20 (save US$1).,"This is the early-bird presale for **CIE 0580 Probability** (Core + Extended).

### What this unit covers
- Approx. **7 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$21** (7 x US$3)
- L3 early-bird price: **US$20**
- Savings at early-bird price: **US$1**.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (April 30, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 U8 Probability Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Probability. Approx. 7 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$21. This L3 early-bird price is US$20 (save US$1).,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-probability,"kahoot,presale,l3,cie0580,unit:probability",Get Early-Bird Access
L3-CIE0580-U9,cie0580,CIE 0580,U9,statistics,Statistics,CIE 0580 U9 Statistics Unit Bundle,Early-Bird Presale | Core + Extended | CIE 0580 Unit Bundle,Early-bird presale for CIE 0580 Statistics. Approx. 11 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$33. This L3 early-bird price is US$20 (save US$13).,"This is the early-bird presale for **CIE 0580 Statistics** (Core + Extended).

### What this unit covers
- Approx. **11 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$33** (11 x US$3)
- L3 early-bird price: **US$20**
- Savings at early-bird price: **US$13**.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (April 30, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **March 31, 2026**
- Official release: **April 30, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",CIE 0580 U9 Statistics Unit Bundle | Early-Bird Presale,Early-bird presale for CIE 0580 Statistics. Approx. 11 subtopics (Core + Extended) with unit-level worksheet + answer support on release. Buying L1 separately would be US$33. This L3 early-bird price is US$20 (save US$13).,US$20,US$25,2026-03-31,2026-04-30,https://payhip.com/25maths?src=cie0580-unit-statistics,"kahoot,presale,l3,cie0580,unit:statistics",Get Early-Bird Access
L3-EDX4MA1-U1,edexcel-4ma1,Edexcel 4MA1,U1,number,Number and Arithmetic,Edexcel 4MA1 U1 Number and Arithmetic Unit Bundle,Early-Bird Presale | Foundation + Higher | Edexcel 4MA1 Unit Bundle,Early-bird presale for Edexcel 4MA1 Number and Arithmetic. Approx. 22 subtopics (Foundation + Higher) with unit-level worksheet + answer support on release. Buying L1 separately would be US$66. This L3 early-bird price is US$20 (save US$46).,"This is the early-bird presale for **Edexcel 4MA1 Number and Arithmetic** (Foundation + Higher).

### What this unit covers
- Approx. **22 subtopics** across **2 sections**
- Structured for exam-spec progression and revision sequencing
- Designed to align Kahoot usage with worksheet and answer support

### Value positioning (L1 anchor: US$3 each)
- L1 single-buy subtotal for this unit: **US$66** (22 x US$3)
- L3 early-bird price: **US$20**
- Savings at early-bird price: **US$46**.

### What you receive now (presale stage)
- Presale entitlement confirmation
- Early-bird price lock
- Launch update notifications for this unit

### What you receive on release (May 31, 2026)
- Full unit worksheet set
- Answer and worked support
- Kahoot-aligned practice structure
- Unit-level extension material plan (past-paper style follow-up)

### Early-bird window
- Early-bird ends: **April 30, 2026**
- Official release: **May 31, 2026**

### Bonus and retention
- Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.
- Need-based bilingual support path is available after purchase (not review-gated).

### Policy notes
- Presale terms are listed in the product page and project terms PDF.
- Dates are absolute and promises follow the listed release schedule.",Edexcel 4MA1 U1 Number and Arithmetic Unit Bundle | Early-Bird Presale,Early-bird presale for Edexcel 4MA1 Number and Arithmetic. Approx. 22 subtopics (Foundation + Higher) with unit-level worksheet + answer support on release. Buying L1 separately would be US$66. This L3 early-bird price is US$20 (save US$46).,US$20,US$25,2026-04-30,2026-05-31,https://payhip.com/25maths?src=edexcel4ma1-unit-number,"kahoot,presale,l3,edexcel-4ma1,unit:number",Get Early-Bird Access
