category,board,tier,syllabus_code,kahoot_name,kahoot_description_en,tags,source_listing_file
free_showcase,CIE 0580,Core,C1.13,CIE 0580 C1.13 | Percentages | CORE,"Free sample set for C1.13 Percentages. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C113, Percentages, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c1-13-percentages/listing-copy.md
free_showcase,CIE 0580,Core,C1.4,"CIE 0580 C1.4 | Fractions, Decimals and Percentages | CORE","Free sample set for C1.4 Fractions, Decimals and Percentages. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C14, Fractions, Decimals, Percentages, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c1-4-fractions-decimals-and-percentages/listing-copy.md
free_showcase,CIE 0580,Core,C2.5,CIE 0580 C2.5 | Equations | CORE,"Free sample set for C2.5 Equations. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C25, Algebra, Equations, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c2-5-equations/listing-copy.md
free_showcase,CIE 0580,Core,C3.3,CIE 0580 C3.3 | Gradient of Linear Graphs | CORE,"Free sample set for C3.3 Gradient of Linear Graphs. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C33, Graphs, Gradient, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c3-3-gradient-of-linear-graphs/listing-copy.md
free_showcase,CIE 0580,Core,C5.2,CIE 0580 C5.2 | Area and Perimeter | CORE,"Free sample set for C5.2 Area and Perimeter. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C52, Mensuration, Area, Perimeter, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c5-2-area-and-perimeter/listing-copy.md
free_showcase,CIE 0580,Core,C8.1,CIE 0580 C8.1 | Introduction to Probability | CORE,"Free sample set for C8.1 Introduction to Probability. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, CoreTrack, C81, Probability, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/c8-1-introduction-to-probability/listing-copy.md
free_showcase,CIE 0580,Extended,E4.7,CIE 0580 E4.7 | Circle Theorems I | EXTENDED,"Free sample set for E4.7 Circle Theorems I. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E47, Geometry, CircleTheorems, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/e4-7-circle-theorems-i/listing-copy.md
free_showcase,CIE 0580,Extended,E6.2,CIE 0580 E6.2 | Right-Angled Triangles | EXTENDED,"Free sample set for E6.2 Right-Angled Triangles. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","CIE0580, IGCSEMaths, KahootMaths, ExtendedTrack, E62, Trigonometry, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/cie0580/e6-2-right-angled-triangles/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F1.2,Edexcel 4MA1 F1.2 | Fractions | FOUNDATION TIER,"Free sample set for F1.2 Fractions. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F12, Fractions, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f1-2-fractions/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F1.6,Edexcel 4MA1 F1.6 | Percentages | FOUNDATION TIER,"Free sample set for F1.6 Percentages. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F16, Percentages, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f1-6-percentages/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F2.4,Edexcel 4MA1 F2.4 | Linear Equations | FOUNDATION TIER,"Free sample set for F2.4 Linear Equations. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F24, Algebra, LinearEquations, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f2-4-linear-equations/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F4.1,"Edexcel 4MA1 F4.1 | Angles, Lines and Triangles | FOUNDATION TIER","Free sample set for F4.1 Angles, Lines and Triangles. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F41, Geometry, Angles, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f4-1-angles-lines-and-triangles/listing-copy.md
free_showcase,Edexcel 4MA1,Foundation Tier,F6.3,Edexcel 4MA1 F6.3 | Probability | FOUNDATION TIER,"Free sample set for F6.3 Probability. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, FoundationTier, F63, Probability, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/f6-3-probability/listing-copy.md
free_showcase,Edexcel 4MA1,Higher Tier,H2.7,Edexcel 4MA1 H2.7 | Quadratic Equations | Higher Tier,"Free sample set for H2.7 Quadratic Equations. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, HigherTier, H27, Algebra, Quadratics, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/h2-7-quadratic-equations/listing-copy.md
free_showcase,Edexcel 4MA1,Higher Tier,H3.3,Edexcel 4MA1 H3.3 | Graphs | Higher Tier,"Free sample set for H3.3 Graphs. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, HigherTier, H33, Graphs, Functions, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/h3-3-graphs/listing-copy.md
free_showcase,Edexcel 4MA1,Higher Tier,H5.1,Edexcel 4MA1 H5.1 | Vectors | Higher Tier,"Free sample set for H5.1 Vectors. This quiz is designed for quick classroom warm-up, homework recap, and independent revision. Questions focus on the most testable patterns and common mistakes so learners can experience the style and quality of your full paid packs.","Edexcel4MA1, IGCSEMaths, HigherTier, H51, Vectors, FreeSample",/Users/zhuxingzhe/Project/ExamBoard/25maths-website/projects/kahoot-channel/task-trees/kahoot-cover-generation/snapshot/free-showcase/edexcel-4ma1/h5-1-vectors/listing-copy.md
