series_key,level,board,board_label,tier_scope,sku_count,price_early_bird,price_regular,early_bird_end_date,release_date,payhip_title_en,payhip_title_zh,short_description_en,short_description_zh,description_markdown_en,description_markdown_zh,cta_en,cta_zh
l1-cie0580-core,L1,cie0580,CIE 0580,Core,52,US$3,US$4,2026-03-31,2026-04-30,CIE 0580 Core L1 SubTopic MVP (Presale),CIE 0580 Core L1 小专题 MVP（预售）,"L1 SubTopic MVP for CIE 0580 Core. 52 product(s) in this series. Early-bird US$3, regular US$4. Release on 2026-04-30.",CIE 0580 Core 的L1 小专题 MVP。该系列共 52 个商品。早鸟价 US$3，原价 US$4。预计上架日期 2026-04-30。,"## L1 SubTopic MVP Overview
This is the L1 SubTopic MVP presale series for **CIE 0580 (Core)**.

### What You Get
- 1 focused SubTopic worksheet pack (PDF)
- Answer key for fast self-check
- Matching Kahoot companion link
- Release-aligned presale update notes

### Presale Terms
- Early-bird price: **US$3** (until 2026-03-31)
- Regular price: **US$4**
- Planned release date: **2026-04-30**
- Purchase during presale locks in your early-bird price.

### Best For
Best for targeted weak-point fixing and quick daily practice.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L1 小专题 MVP说明
这是面向 **CIE 0580（Core）** 的L1 小专题 MVP预售系列。

### 你将获得
- 1 份小专题聚焦 Worksheet（PDF）
- 配套答案，方便快速自检
- 对应 Kahoot 练习链接
- 按上架节奏更新的预售说明

### 预售条款
- 早鸟价：**US$3**（截止 2026-03-31）
- 正常价：**US$4**
- 计划上架：**2026-04-30**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合查漏补缺与日常短时高频训练。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L1 SubTopic MVP series now and secure the early-bird price.,立即购买本L1 小专题 MVP系列，锁定早鸟价。
l1-cie0580-extended,L1,cie0580,CIE 0580,Extended,72,US$3,US$4,2026-03-31,2026-04-30,CIE 0580 Extended L1 SubTopic MVP (Presale),CIE 0580 Extended L1 小专题 MVP（预售）,"L1 SubTopic MVP for CIE 0580 Extended. 72 product(s) in this series. Early-bird US$3, regular US$4. Release on 2026-04-30.",CIE 0580 Extended 的L1 小专题 MVP。该系列共 72 个商品。早鸟价 US$3，原价 US$4。预计上架日期 2026-04-30。,"## L1 SubTopic MVP Overview
This is the L1 SubTopic MVP presale series for **CIE 0580 (Extended)**.

### What You Get
- 1 focused SubTopic worksheet pack (PDF)
- Answer key for fast self-check
- Matching Kahoot companion link
- Release-aligned presale update notes

### Presale Terms
- Early-bird price: **US$3** (until 2026-03-31)
- Regular price: **US$4**
- Planned release date: **2026-04-30**
- Purchase during presale locks in your early-bird price.

### Best For
Best for targeted weak-point fixing and quick daily practice.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L1 小专题 MVP说明
这是面向 **CIE 0580（Extended）** 的L1 小专题 MVP预售系列。

### 你将获得
- 1 份小专题聚焦 Worksheet（PDF）
- 配套答案，方便快速自检
- 对应 Kahoot 练习链接
- 按上架节奏更新的预售说明

### 预售条款
- 早鸟价：**US$3**（截止 2026-03-31）
- 正常价：**US$4**
- 计划上架：**2026-04-30**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合查漏补缺与日常短时高频训练。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L1 SubTopic MVP series now and secure the early-bird price.,立即购买本L1 小专题 MVP系列，锁定早鸟价。
l1-edexcel-4ma1-foundation,L1,edexcel-4ma1,Edexcel 4MA1,Foundation,39,US$3,US$4,2026-04-30,2026-05-31,Edexcel 4MA1 Foundation L1 SubTopic MVP (Presale),Edexcel 4MA1 Foundation L1 小专题 MVP（预售）,"L1 SubTopic MVP for Edexcel 4MA1 Foundation. 39 product(s) in this series. Early-bird US$3, regular US$4. Release on 2026-05-31.",Edexcel 4MA1 Foundation 的L1 小专题 MVP。该系列共 39 个商品。早鸟价 US$3，原价 US$4。预计上架日期 2026-05-31。,"## L1 SubTopic MVP Overview
This is the L1 SubTopic MVP presale series for **Edexcel 4MA1 (Foundation)**.

### What You Get
- 1 focused SubTopic worksheet pack (PDF)
- Answer key for fast self-check
- Matching Kahoot companion link
- Release-aligned presale update notes

### Presale Terms
- Early-bird price: **US$3** (until 2026-04-30)
- Regular price: **US$4**
- Planned release date: **2026-05-31**
- Purchase during presale locks in your early-bird price.

### Best For
Best for targeted weak-point fixing and quick daily practice.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L1 小专题 MVP说明
这是面向 **Edexcel 4MA1（Foundation）** 的L1 小专题 MVP预售系列。

### 你将获得
- 1 份小专题聚焦 Worksheet（PDF）
- 配套答案，方便快速自检
- 对应 Kahoot 练习链接
- 按上架节奏更新的预售说明

### 预售条款
- 早鸟价：**US$3**（截止 2026-04-30）
- 正常价：**US$4**
- 计划上架：**2026-05-31**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合查漏补缺与日常短时高频训练。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L1 SubTopic MVP series now and secure the early-bird price.,立即购买本L1 小专题 MVP系列，锁定早鸟价。
l1-edexcel-4ma1-higher,L1,edexcel-4ma1,Edexcel 4MA1,Higher,39,US$3,US$4,2026-04-30,2026-05-31,Edexcel 4MA1 Higher L1 SubTopic MVP (Presale),Edexcel 4MA1 Higher L1 小专题 MVP（预售）,"L1 SubTopic MVP for Edexcel 4MA1 Higher. 39 product(s) in this series. Early-bird US$3, regular US$4. Release on 2026-05-31.",Edexcel 4MA1 Higher 的L1 小专题 MVP。该系列共 39 个商品。早鸟价 US$3，原价 US$4。预计上架日期 2026-05-31。,"## L1 SubTopic MVP Overview
This is the L1 SubTopic MVP presale series for **Edexcel 4MA1 (Higher)**.

### What You Get
- 1 focused SubTopic worksheet pack (PDF)
- Answer key for fast self-check
- Matching Kahoot companion link
- Release-aligned presale update notes

### Presale Terms
- Early-bird price: **US$3** (until 2026-04-30)
- Regular price: **US$4**
- Planned release date: **2026-05-31**
- Purchase during presale locks in your early-bird price.

### Best For
Best for targeted weak-point fixing and quick daily practice.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L1 小专题 MVP说明
这是面向 **Edexcel 4MA1（Higher）** 的L1 小专题 MVP预售系列。

### 你将获得
- 1 份小专题聚焦 Worksheet（PDF）
- 配套答案，方便快速自检
- 对应 Kahoot 练习链接
- 按上架节奏更新的预售说明

### 预售条款
- 早鸟价：**US$3**（截止 2026-04-30）
- 正常价：**US$4**
- 计划上架：**2026-05-31**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合查漏补缺与日常短时高频训练。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L1 SubTopic MVP series now and secure the early-bird price.,立即购买本L1 小专题 MVP系列，锁定早鸟价。
l2-cie0580-core,L2,cie0580,CIE 0580,Core,9,US$12,US$15,2026-03-31,2026-04-30,CIE 0580 Core L2 Section Bundle (Presale),CIE 0580 Core L2 章节合集（预售）,"L2 Section Bundle for CIE 0580 Core. 9 product(s) in this series. Early-bird US$12, regular US$15. Release on 2026-04-30.",CIE 0580 Core 的L2 章节合集。该系列共 9 个商品。早鸟价 US$12，原价 US$15。预计上架日期 2026-04-30。,"## L2 Section Bundle Overview
This is the L2 Section Bundle presale series for **CIE 0580 (Core)**.

### What You Get
- Section-level worksheet bundle across connected SubTopics
- Answer set for each worksheet
- Kahoot companion links for section drilling
- Structured progression for one full section

### Presale Terms
- Early-bird price: **US$12** (until 2026-03-31)
- Regular price: **US$15**
- Planned release date: **2026-04-30**
- Purchase during presale locks in your early-bird price.

### Best For
Best for section consolidation before mocks and topic tests.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L2 章节合集说明
这是面向 **CIE 0580（Core）** 的L2 章节合集预售系列。

### 你将获得
- 同章节多个 SubTopic 的 Worksheet 合集
- 每份练习对应答案
- 章节配套 Kahoot 训练链接
- 按章节推进的系统化训练路径

### 预售条款
- 早鸟价：**US$12**（截止 2026-03-31）
- 正常价：**US$15**
- 计划上架：**2026-04-30**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合模考前章节巩固与专题刷题。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L2 Section Bundle series now and secure the early-bird price.,立即购买本L2 章节合集系列，锁定早鸟价。
l2-cie0580-extended,L2,cie0580,CIE 0580,Extended,9,US$12,US$15,2026-03-31,2026-04-30,CIE 0580 Extended L2 Section Bundle (Presale),CIE 0580 Extended L2 章节合集（预售）,"L2 Section Bundle for CIE 0580 Extended. 9 product(s) in this series. Early-bird US$12, regular US$15. Release on 2026-04-30.",CIE 0580 Extended 的L2 章节合集。该系列共 9 个商品。早鸟价 US$12，原价 US$15。预计上架日期 2026-04-30。,"## L2 Section Bundle Overview
This is the L2 Section Bundle presale series for **CIE 0580 (Extended)**.

### What You Get
- Section-level worksheet bundle across connected SubTopics
- Answer set for each worksheet
- Kahoot companion links for section drilling
- Structured progression for one full section

### Presale Terms
- Early-bird price: **US$12** (until 2026-03-31)
- Regular price: **US$15**
- Planned release date: **2026-04-30**
- Purchase during presale locks in your early-bird price.

### Best For
Best for section consolidation before mocks and topic tests.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L2 章节合集说明
这是面向 **CIE 0580（Extended）** 的L2 章节合集预售系列。

### 你将获得
- 同章节多个 SubTopic 的 Worksheet 合集
- 每份练习对应答案
- 章节配套 Kahoot 训练链接
- 按章节推进的系统化训练路径

### 预售条款
- 早鸟价：**US$12**（截止 2026-03-31）
- 正常价：**US$15**
- 计划上架：**2026-04-30**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合模考前章节巩固与专题刷题。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L2 Section Bundle series now and secure the early-bird price.,立即购买本L2 章节合集系列，锁定早鸟价。
l2-edexcel-4ma1-foundation,L2,edexcel-4ma1,Edexcel 4MA1,Foundation,6,US$12,US$15,2026-04-30,2026-05-31,Edexcel 4MA1 Foundation L2 Section Bundle (Presale),Edexcel 4MA1 Foundation L2 章节合集（预售）,"L2 Section Bundle for Edexcel 4MA1 Foundation. 6 product(s) in this series. Early-bird US$12, regular US$15. Release on 2026-05-31.",Edexcel 4MA1 Foundation 的L2 章节合集。该系列共 6 个商品。早鸟价 US$12，原价 US$15。预计上架日期 2026-05-31。,"## L2 Section Bundle Overview
This is the L2 Section Bundle presale series for **Edexcel 4MA1 (Foundation)**.

### What You Get
- Section-level worksheet bundle across connected SubTopics
- Answer set for each worksheet
- Kahoot companion links for section drilling
- Structured progression for one full section

### Presale Terms
- Early-bird price: **US$12** (until 2026-04-30)
- Regular price: **US$15**
- Planned release date: **2026-05-31**
- Purchase during presale locks in your early-bird price.

### Best For
Best for section consolidation before mocks and topic tests.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L2 章节合集说明
这是面向 **Edexcel 4MA1（Foundation）** 的L2 章节合集预售系列。

### 你将获得
- 同章节多个 SubTopic 的 Worksheet 合集
- 每份练习对应答案
- 章节配套 Kahoot 训练链接
- 按章节推进的系统化训练路径

### 预售条款
- 早鸟价：**US$12**（截止 2026-04-30）
- 正常价：**US$15**
- 计划上架：**2026-05-31**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合模考前章节巩固与专题刷题。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L2 Section Bundle series now and secure the early-bird price.,立即购买本L2 章节合集系列，锁定早鸟价。
l2-edexcel-4ma1-higher,L2,edexcel-4ma1,Edexcel 4MA1,Higher,6,US$12,US$15,2026-04-30,2026-05-31,Edexcel 4MA1 Higher L2 Section Bundle (Presale),Edexcel 4MA1 Higher L2 章节合集（预售）,"L2 Section Bundle for Edexcel 4MA1 Higher. 6 product(s) in this series. Early-bird US$12, regular US$15. Release on 2026-05-31.",Edexcel 4MA1 Higher 的L2 章节合集。该系列共 6 个商品。早鸟价 US$12，原价 US$15。预计上架日期 2026-05-31。,"## L2 Section Bundle Overview
This is the L2 Section Bundle presale series for **Edexcel 4MA1 (Higher)**.

### What You Get
- Section-level worksheet bundle across connected SubTopics
- Answer set for each worksheet
- Kahoot companion links for section drilling
- Structured progression for one full section

### Presale Terms
- Early-bird price: **US$12** (until 2026-04-30)
- Regular price: **US$15**
- Planned release date: **2026-05-31**
- Purchase during presale locks in your early-bird price.

### Best For
Best for section consolidation before mocks and topic tests.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L2 章节合集说明
这是面向 **Edexcel 4MA1（Higher）** 的L2 章节合集预售系列。

### 你将获得
- 同章节多个 SubTopic 的 Worksheet 合集
- 每份练习对应答案
- 章节配套 Kahoot 训练链接
- 按章节推进的系统化训练路径

### 预售条款
- 早鸟价：**US$12**（截止 2026-04-30）
- 正常价：**US$15**
- 计划上架：**2026-05-31**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合模考前章节巩固与专题刷题。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L2 Section Bundle series now and secure the early-bird price.,立即购买本L2 章节合集系列，锁定早鸟价。
l3-cie0580-core-extended,L3,cie0580,CIE 0580,Core + Extended,9,US$20,US$25,2026-03-31,2026-04-30,CIE 0580 Core + Extended L3 Unit Bundle (Presale),CIE 0580 Core + Extended L3 单元合集（预售）,"L3 Unit Bundle for CIE 0580 Core + Extended. 9 product(s) in this series. Early-bird US$20, regular US$25. Release on 2026-04-30.",CIE 0580 Core + Extended 的L3 单元合集。该系列共 9 个商品。早鸟价 US$20，原价 US$25。预计上架日期 2026-04-30。,"## L3 Unit Bundle Overview
This is the L3 Unit Bundle presale series for **CIE 0580 (Core + Extended)**.

### What You Get
- Unit-level bundle covering multiple sections
- Worksheet + answer workflow for each section
- Kahoot companion links across the unit
- Unit roadmap for exam-focused revision

### Presale Terms
- Early-bird price: **US$20** (until 2026-03-31)
- Regular price: **US$25**
- Planned release date: **2026-04-30**
- Purchase during presale locks in your early-bird price.

### Best For
Best for finishing one complete unit with fewer content gaps.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L3 单元合集说明
这是面向 **CIE 0580（Core + Extended）** 的L3 单元合集预售系列。

### 你将获得
- 覆盖多个章节的单元级资料包
- 每章节 Worksheet + 答案闭环
- 单元维度的 Kahoot 配套链接
- 围绕考试复习的单元学习路径

### 预售条款
- 早鸟价：**US$20**（截止 2026-03-31）
- 正常价：**US$25**
- 计划上架：**2026-04-30**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合完整攻克一个单元并减少知识断层。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L3 Unit Bundle series now and secure the early-bird price.,立即购买本L3 单元合集系列，锁定早鸟价。
l3-edexcel-4ma1-foundation-higher,L3,edexcel-4ma1,Edexcel 4MA1,Foundation + Higher,6,US$20,US$25,2026-04-30,2026-05-31,Edexcel 4MA1 Foundation + Higher L3 Unit Bundle (Presale),Edexcel 4MA1 Foundation + Higher L3 单元合集（预售）,"L3 Unit Bundle for Edexcel 4MA1 Foundation + Higher. 6 product(s) in this series. Early-bird US$20, regular US$25. Release on 2026-05-31.",Edexcel 4MA1 Foundation + Higher 的L3 单元合集。该系列共 6 个商品。早鸟价 US$20，原价 US$25。预计上架日期 2026-05-31。,"## L3 Unit Bundle Overview
This is the L3 Unit Bundle presale series for **Edexcel 4MA1 (Foundation + Higher)**.

### What You Get
- Unit-level bundle covering multiple sections
- Worksheet + answer workflow for each section
- Kahoot companion links across the unit
- Unit roadmap for exam-focused revision

### Presale Terms
- Early-bird price: **US$20** (until 2026-04-30)
- Regular price: **US$25**
- Planned release date: **2026-05-31**
- Purchase during presale locks in your early-bird price.

### Best For
Best for finishing one complete unit with fewer content gaps.

### Note
Optional bilingual vocabulary support can be provided on request for students who need EN-ZH language assistance.","## L3 单元合集说明
这是面向 **Edexcel 4MA1（Foundation + Higher）** 的L3 单元合集预售系列。

### 你将获得
- 覆盖多个章节的单元级资料包
- 每章节 Worksheet + 答案闭环
- 单元维度的 Kahoot 配套链接
- 围绕考试复习的单元学习路径

### 预售条款
- 早鸟价：**US$20**（截止 2026-04-30）
- 正常价：**US$25**
- 计划上架：**2026-05-31**
- 预售期下单可锁定早鸟价格。

### 适用人群
适合完整攻克一个单元并减少知识断层。

### 补充说明
对于有需要的学生，可按需提供中英双语词汇支持。",Start with this L3 Unit Bundle series now and secure the early-bird price.,立即购买本L3 单元合集系列，锁定早鸟价。
